district,year,ndvi_raw,ndvi_qa_filtered
Aghdam,2000,0.332490247873962,0.336287865372295
Aghdam,2012,0.44505077550687516,0.4344499831281945
Aghdam,2019,0.40762040162047314,0.40199575905859114
Aghdam,2024,0.4326014575038098,0.4295045233569353
Fuzuli,2000,0.24342989704228502,0.24338602794135666
Fuzuli,2012,0.3609435497638322,0.3622464793685842
Fuzuli,2019,0.34510619733775016,0.34584434020774574
Fuzuli,2024,0.38120400905308094,0.3850000419151023
Jabrayil,2000,0.23207021331734337,0.232062396885992
Jabrayil,2012,0.3383627013082921,0.33814308973800716
Jabrayil,2019,0.24759618636003275,0.24759618636003275
Jabrayil,2024,0.331060652034481,0.3340365250248369
Kalbajar,2000,0.5546978120904861,0.584824906556879
Kalbajar,2012,0.6299666529371194,0.7011278107486257
Kalbajar,2019,0.5668497600221138,0.6220190892850098
Kalbajar,2024,0.6853199839710324,0.6716790479804912
Gubadli,2000,0.4622508117301098,0.4622508117301098
Gubadli,2012,0.5489152227627725,0.5502150571459309
Gubadli,2019,0.5059537386522239,0.5066372909108147
Gubadli,2024,0.5715192770091109,0.5799713068846553
Lachin,2000,0.5298159412796368,0.6009021963194185
Lachin,2012,0.621086411386123,0.6691234181704754
Lachin,2019,0.5583157348216391,0.6459032791227893
Lachin,2024,0.6913603331581758,0.7238468379954315
Zangilan,2000,0.3976600969924741,0.3976600969924741
Zangilan,2012,0.5139568725562151,0.5140924653797629
Zangilan,2019,0.48347238832988726,0.483825806536913
Zangilan,2024,0.5109016992089271,0.5158378734899657
Khojavand,2000,0.365991467063853,0.365991467063853
Khojavand,2012,0.45259278249015433,0.4523939077944953
Khojavand,2019,0.4070080112240246,0.40750139168112504
Khojavand,2024,0.4759671503023775,0.4789477839181477
Shusha,2000,0.5834157355259448,0.6330477297109599
Shusha,2012,0.651604645205406,0.6812520945945153
Shusha,2019,0.6288188068725358,0.6623749121705889
Shusha,2024,0.6878274827986544,0.6857294414018175
Tartar,2000,0.16761029616670467,0.16759072489474958
Tartar,2012,0.23833190196850942,0.23825819785213095
Tartar,2019,0.2979650576263036,0.280516345309827
Tartar,2024,0.27562112663986815,0.27562112663986815
Goranboy,2000,0.18040916794642517,0.18046381114813234
Goranboy,2012,0.23657888359626547,0.2311812974480174
Goranboy,2019,0.21259539855035242,0.21367455321401566
Goranboy,2024,0.27169085565431655,0.27168752542141356
Barda,2000,0.48440507352744905,0.4845199856174031
Barda,2012,0.5614236856356807,0.5605203691575268
Barda,2019,0.5423895765347836,0.5410502272043197
Barda,2024,0.5515081576325312,0.5511711939961271
Aghjabadi,2000,0.5145147117466097,0.5187280495865362
Aghjabadi,2012,0.5556428076277786,0.5585973663051799
Aghjabadi,2019,0.5410222704699138,0.5416619669394258
Aghjabadi,2024,0.5626349493551549,0.5651659587172516
Beylagan,2000,0.49882504493406304,0.4988350958950329
Beylagan,2012,0.5988148955577548,0.6021698851889055
Beylagan,2019,0.6000558598485617,0.5994556646953685
Beylagan,2024,0.5893741752551875,0.5933166304073106
Jalilabad,2000,0.3685979364288314,0.3660759832751141
Jalilabad,2012,0.34950361584046974,0.34892116227468634
Jalilabad,2019,0.39227286781280796,0.3931934703352558
Jalilabad,2024,0.3941507954024078,0.4082326108463657
Gadabay,2000,0.5276878492942605,0.5268077835767119
Gadabay,2012,0.6007300793333997,0.5894479215610182
Gadabay,2019,0.5728438545115858,0.5726697200182642
Gadabay,2024,0.6724984184324032,0.6755187374271596
Dashkasan,2000,0.570477679614453,0.5786214066216843
Dashkasan,2012,0.6297864756146312,0.6132760254521891
Dashkasan,2019,0.6015301708974614,0.6308589428908795
Dashkasan,2024,0.7152901637906163,0.7177058134620916
Gazakh,2000,0.43820513300151653,0.4419342916208034
Gazakh,2012,0.5426813978069306,0.5440624827256011
Gazakh,2019,0.49254457452100203,0.4927694284275945
Gazakh,2024,0.558967620695717,0.5626027719212036
Tovuz,2000,0.3785111314266821,0.38379503746674853
Tovuz,2012,0.461938942580041,0.46108258385207657
Tovuz,2019,0.4479478257863814,0.44788729708591996
Tovuz,2024,0.5321089648977787,0.532706305144351
