system:index,district,group,nighttime_lights,year,.geo
2_12,Beylagan,comparison,0.5750759740791315,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_13,Goranboy,comparison,0.3534032354187401,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_14,Tartar,comparison,0.3914733686994975,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_15,Dashkasan,comparison,0.15685405032698624,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_16,Gadabay,comparison,0.2310401603942063,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_17,Tovuz,comparison,0.21535134982594203,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_18,Gazakh,comparison,0.4458717801879045,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,Shusha,treated,2.532050301033041,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1,Kalbajar,treated,0.3096604516632483,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2,Aghdam,treated,0.5875953117993795,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3,Lachin,treated,0.3055267039884257,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_4,Khojavand,treated,0.33339045339368106,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_5,Fuzuli,treated,0.619450255534408,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_6,Jabrayil,treated,0.3593229210864327,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_7,Gubadli,treated,0.2951466679552944,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8,Zangilan,treated,0.32490829900331697,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9,Jalilabad,comparison,0.6158548005534897,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10,Barda,comparison,0.8934031625960964,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11,Aghjabadi,comparison,0.7018218449115905,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_12,Beylagan,comparison,0.7163839260905187,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_13,Goranboy,comparison,0.52315456983952,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_14,Tartar,comparison,0.551148787315846,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_15,Dashkasan,comparison,0.3554677131692571,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_16,Gadabay,comparison,0.40950844432988087,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_17,Tovuz,comparison,0.4103000433389355,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_18,Gazakh,comparison,0.6601634579781328,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,Shusha,treated,2.4993413435132874,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1,Kalbajar,treated,0.2543118819158411,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2,Aghdam,treated,0.5164496179900164,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3,Lachin,treated,0.24175207758924114,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4,Khojavand,treated,0.28614815205689,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5,Fuzuli,treated,0.49386436882889034,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6,Jabrayil,treated,0.3162146550333826,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7,Gubadli,treated,0.25367268129870785,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8,Zangilan,treated,0.28688207638076385,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9,Jalilabad,comparison,0.5958721841123845,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10,Barda,comparison,0.7977303625267219,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11,Aghjabadi,comparison,0.6575055947416469,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_12,Beylagan,comparison,0.6318101709362083,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_13,Goranboy,comparison,0.48360930200890173,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_14,Tartar,comparison,0.5002546690093014,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_15,Dashkasan,comparison,0.2928333929708009,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_16,Gadabay,comparison,0.3561575146551684,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_17,Tovuz,comparison,0.3503922375695602,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_18,Gazakh,comparison,0.5415511082148212,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,Shusha,treated,1.8906537467368811,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1,Kalbajar,treated,0.27493535029074523,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_2,Aghdam,treated,0.507046652949859,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_3,Lachin,treated,0.26417558659612805,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_4,Khojavand,treated,0.28573816804078755,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5,Fuzuli,treated,0.5232358008730181,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_6,Jabrayil,treated,0.33401579225005235,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_7,Gubadli,treated,0.27980070652046285,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_8,Zangilan,treated,0.284654027593643,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9,Jalilabad,comparison,0.6191147640817118,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_10,Barda,comparison,0.8690029183746851,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_11,Aghjabadi,comparison,0.6908465038891133,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_12,Beylagan,comparison,0.6180089673386193,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_13,Goranboy,comparison,0.5085880759017842,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_14,Tartar,comparison,0.49855327718787035,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_15,Dashkasan,comparison,0.31976912773704613,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_16,Gadabay,comparison,0.3826690645551211,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_17,Tovuz,comparison,0.3961868389809375,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_18,Gazakh,comparison,0.6554218375233022,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,Shusha,treated,1.673016726344871,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1,Kalbajar,treated,0.3336634651621385,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2,Aghdam,treated,0.5286628838931781,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_3,Lachin,treated,0.3216921993170902,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_4,Khojavand,treated,0.3445655077826644,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
